Code,Name,Station name Chinese,Station name Tamil,Opening,Name(s) during planning stages,Abbreviation,Location(s),Interchange; Adjacent transportation
Alpha-numeric code(s),Station name,Station name,Station name,Opening,Name(s) during planning stages,Abbreviation,Location(s),"Interchange;
Adjacent transportation"
In operation,English • Malay,Chinese,Tamil,Opening,Name(s) during planning stages,Abbreviation,Location(s),"Interchange;
Adjacent transportation"
North South Line (NSL),North South Line (NSL),North South Line (NSL),North South Line (NSL),North South Line (NSL),North South Line (NSL),North South Line (NSL),North South Line (NSL),North South Line (NSL)
NS1  EW24,Jurong East,裕廊东,ஜூரோங் கிழக்கு,10-Mar-90,Jurong East,JUR,Jurong East,"East West Line
― 
 Jurong East"
NS2,Bukit Batok,武吉巴督,புக்கிட் பாத்தோக்,10-Mar-90,Bukit Batok South,BBT,Bukit Batok,Bukit Batok
NS3,Bukit Gombak,武吉甘柏,புக்கிட் கோம்பாக்,10-Mar-90,Bukit Batok North,BGB,Bukit Batok,—
NS3A,Brickland,红砖,பிரிக்லேன்ட்,Mid-2030s,Brickland,TBA,Exact location not yet known,—
NS4  BP1,Choa Chu Kang,蔡厝港,சுவா சூ காங்,10-Mar-90,Choa Chu Kang,CCK,Choa Chu Kang,"Bukit Panjang LRT
― 
 Choa Chu Kang"
NS5,Yew Tee,油池,இயூ டீ,10-Feb-96,Choa Chu Kang North,YWT,Choa Chu Kang,—
NS6,Sungei Kadut,双溪加株,சுங்கை காடுத்,Mid-2030s,"Kadut, Sungei Kadut",TBA,Sungei Kadut,—
NS7,Kranji,克兰芝,கிராஞ்சி,10-Feb-96,Kranji,KRJ,Sungei Kadut,—
NS8,Marsiling,马西岭,மார்சிலிங்,10-Feb-96,Woodlands West,MSL,Woodlands,—
NS9  TE2,Woodlands,兀兰,ஊட்லண்ட்ஸ்,10-Feb-96,Woodlands Central,WDL,Woodlands,"Thomson–East Coast Line
― 
 Woodlands
 Woodlands Temporary"
NS10,Admiralty,海军部,அட்மிரல்ட்டி,10-Feb-96,Woodlands East,ADM,Woodlands,—
NS11,Sembawang,三巴旺,செம்பாவாங்,10-Feb-96,Sembawang,SBW,Sembawang,Sembawang
"NS12 
Infill station",Canberra,坎贝拉,கான்பரா,2-Nov-19,Canberra,CBR,Sembawang,—
NS13,Yishun,义顺,யீஷூன்,20-Dec-88,Nee Soon North,YIS,Yishun,Yishun
NS14,Khatib,卡迪,காதிப்,20-Dec-88,Nee Soon South,KTB,Yishun,—
NS15,Yio Chu Kang,杨厝港,இயோ சூ காங்,7-Nov-87,Yio Chu Kang,YCK,Ang Mo Kio,Yio Chu Kang
NS16,Ang Mo Kio,宏茂桥,அங் மோ கியோ,7-Nov-87,Ang Mo Kio,AMK,Ang Mo Kio,Ang Mo Kio
